Date,temp_2m_K,dewpoint_2m_K,u_wind_10m,v_wind_10m,temp_2m_C,dewpoint_2m_C,wind_speed_10m
2025-03-14,284.1312561035156,281.4637878417969,-1.6576431274414063,0.20869064331054688,10.981256103515648,8.313787841796898,1.7681861905508083
2025-03-15,284.09747314453125,281.88963623046874,-1.4929143905639648,-0.02902507781982422,10.947473144531273,8.739636230468772,1.6014948375161577
2025-03-16,284.0636901855469,282.31548461914065,-1.3281856536865235,-0.2667407989501953,10.913690185546898,9.165484619140647,1.4348034844815074
2025-03-17,284.0299072265625,282.7413330078125,-1.163456916809082,-0.5044565200805664,10.879907226562523,9.591333007812523,1.2681121314468569
2025-03-18,283.45802001953126,281.7805236816406,-0.8937715530395508,-0.9984611511230469,10.308020019531273,8.630523681640648,1.6105347773925012
2025-03-19,282.8861328125,280.81971435546876,-0.6240861892700196,-1.4924657821655274,9.736132812500022,7.669714355468773,1.9529574233381455
2025-03-20,282.3142456054687,279.85890502929686,-0.35440082550048835,-1.986470413208008,9.164245605468773,6.708905029296898,2.2953800692837896
2025-03-21,281.7423583984375,278.898095703125,-0.08471546173095712,-2.4804750442504884,8.592358398437522,5.748095703125022,2.6378027152294337
2025-03-22,281.17047119140625,277.9372863769531,0.18496990203857422,-2.9744796752929688,8.020471191406273,4.787286376953148,2.980225361175078
2025-03-23,282.0207275390625,279.2587524414063,0.36133537292480467,-2.0469024658203123,8.870727539062523,6.108752441406272,2.7794005892818063
2025-03-24,282.87098388671876,280.58021850585936,0.5377008438110351,-1.1193252563476563,9.720983886718773,7.430218505859398,2.5785758173885345
2025-03-25,283.721240234375,281.9016845703125,0.7140663146972657,-0.19174804687500036,10.571240234375022,8.751684570312523,2.3777510454952626
2025-03-26,284.5714965820313,283.2231506347656,0.8904317855834961,0.7358291625976561,11.421496582031272,10.073150634765648,2.1769262736019908
2025-03-27,285.4217529296875,284.54461669921875,1.0667972564697266,1.6634063720703125,12.271752929687523,11.394616699218773,1.9761015017087191
2025-03-28,284.50792236328124,283.6980773925781,0.6542774200439453,1.031768798828125,11.357922363281272,10.548077392578147,1.940102202444129
2025-03-29,283.594091796875,282.8515380859375,0.24175758361816402,0.4001312255859375,10.444091796875023,9.701538085937523,1.9041029031795387
2025-03-30,282.6802612304688,282.0049987792969,-0.17076225280761737,-0.23150634765625,9.530261230468772,8.854998779296897,1.8681036039149486
2025-03-31,281.7664306640625,281.15845947265626,-0.5832820892333985,-0.8631439208984375,8.616430664062523,8.008459472656273,1.8321043046503582
2025-04-01,280.85260009765625,280.3119201660156,-0.9958019256591797,-1.494781494140625,7.702600097656273,7.161920166015648,1.7961050053857681
2025-04-02,280.97544555664064,279.4244018554688,-0.7753524780273438,-1.391884994506836,7.825445556640648,6.274401855468772,1.6340962479504642
2025-04-03,281.098291015625,278.53688354492186,-0.5549030303955078,-1.2889884948730468,7.948291015625022,5.386883544921898,1.47208749051516
