Date,Site ID,Latitude,Longitude,pm25,NDVI
2025-02-01,60870007,36.98332,-121.98822,3.5,5939.413954244953
2025-02-02,60870007,36.98332,-121.98822,1.7,5947.415988025066
2025-02-03,60870007,36.98332,-121.98822,3.5,5947.056183617277
2025-02-04,60870007,36.98332,-121.98822,3.0,5946.696379209489
2025-02-05,60870007,36.98332,-121.98822,3.8,5946.3365748017
2025-02-06,60870007,36.98332,-121.98822,3.1,5945.976770393912
2025-02-07,60870007,36.98332,-121.98822,3.1,5945.616965986123
2025-02-08,60870007,36.98332,-121.98822,3.5,5945.257161578335
2025-02-09,60870007,36.98332,-121.98822,3.5,5944.8973571705465
2025-02-10,60870007,36.98332,-121.98822,4.7,5944.537552762758
2025-02-11,60870007,36.98332,-121.98822,5.1,5944.1777483549695
2025-02-12,60870007,36.98332,-121.98822,2.7,5943.8179439471805
2025-02-13,60870007,36.98332,-121.98822,4.6,5943.4581395393925
2025-02-14,60870007,36.98332,-121.98822,6.9,5943.098335131604
2025-02-15,60870007,36.98332,-121.98822,5.6,5942.7385307238155
2025-02-16,60870007,36.98332,-121.98822,4.6,5942.378726316027
2025-02-17,60870007,36.98332,-121.98822,3.9,5942.018921908239
2025-02-18,60870007,36.98332,-121.98822,6.0,5941.65911750045
2025-02-19,60870007,36.98332,-121.98822,5.2,5965.263365148552
2025-02-20,60870007,36.98332,-121.98822,4.5,5988.867612796654
2025-02-21,60870007,36.98332,-121.98822,6.4,6012.471860444755
2025-02-22,60870007,36.98332,-121.98822,5.5,6036.076108092858
2025-02-23,60870007,36.98332,-121.98822,6.8,6059.68035574096
2025-02-24,60870007,36.98332,-121.98822,5.3,6083.284603389062
2025-02-25,60870007,36.98332,-121.98822,5.9,6106.8888510371635
2025-02-26,60870007,36.98332,-121.98822,4.2,6130.493098685266
2025-02-27,60870007,36.98332,-121.98822,5.5,6154.0973463333685
2025-02-28,60870007,36.98332,-121.98822,9.6,6177.70159398147
2025-03-01,60870007,36.98332,-121.98822,6.0,6201.305841629572
2025-03-02,60870007,36.98332,-121.98822,3.0,6224.910089277674
2025-03-03,60870007,36.98332,-121.98822,2.9,6248.514336925777
2025-03-04,60870007,36.98332,-121.98822,2.7,6272.118584573878
2025-03-05,60870007,36.98332,-121.98822,4.4,6295.72283222198
2025-03-06,60870007,36.98332,-121.98822,2.7,6319.327079870082
2025-03-07,60870007,36.98332,-121.98822,5.0,6317.860931348167
2025-03-08,60870007,36.98332,-121.98822,5.3,6316.39478282625
2025-03-09,60870007,36.98332,-121.98822,5.3,6314.928634304334
2025-03-10,60870007,36.98332,-121.98822,3.6,6313.462485782418
2025-03-11,60870007,36.98332,-121.98822,3.3,6311.996337260502
2025-03-12,60870007,36.98332,-121.98822,4.5,6310.530188738586
2025-03-13,60870007,36.98332,-121.98822,1.7,6309.06404021667
2025-03-14,60870007,36.98332,-121.98822,4.6,6307.597891694753
2025-03-15,60870007,36.98332,-121.98822,12.1,6306.131743172838
2025-03-16,60870007,36.98332,-121.98822,8.3,6304.665594650922
2025-03-17,60870007,36.98332,-121.98822,3.5,6303.199446129006
2025-03-18,60870007,36.98332,-121.98822,4.2,6301.733297607089
2025-03-19,60870007,36.98332,-121.98822,3.4,6300.2671490851735
2025-03-20,60870007,36.98332,-121.98822,1.7,6298.801000563258
2025-03-21,60870007,36.98332,-121.98822,2.6,6297.334852041341
2025-03-22,60870007,36.98332,-121.98822,3.2,6295.868703519425
2025-03-23,60870007,36.98332,-121.98822,4.7,6302.927054677192
2025-03-24,60870007,36.98332,-121.98822,2.4,6309.985405834959
2025-03-25,60870007,36.98332,-121.98822,3.4,6317.043756992726
2025-03-26,60870007,36.98332,-121.98822,3.0,6324.102108150493
2025-03-27,60870007,36.98332,-121.98822,2.5,6331.160459308261
2025-03-28,60870007,36.98332,-121.98822,1.8,6338.218810466028
2025-03-29,60870007,36.98332,-121.98822,3.1,6345.277161623795
2025-03-30,60870007,36.98332,-121.98822,2.0,6352.335512781562
2025-03-31,60870007,36.98332,-121.98822,3.0,6359.393863939329
2025-04-01,60870007,36.98332,-121.98822,2.5,6366.452215097096
2025-04-02,60870007,36.98332,-121.98822,2.0,6373.510566254863
2025-04-03,60870007,36.98332,-121.98822,2.8,6380.568917412631
2025-04-04,60870007,36.98332,-121.98822,2.4,6387.627268570398
2025-04-05,60870007,36.98332,-121.98822,3.1,6394.685619728165
2025-04-06,60870007,36.98332,-121.98822,3.5,6401.743970885932
2025-04-07,60870007,36.98332,-121.98822,2.7,6408.802322043699
2025-04-08,60870007,36.98332,-121.98822,3.4,6405.889474117906
2025-04-09,60870007,36.98332,-121.98822,4.9,6402.976626192113
2025-04-10,60870007,36.98332,-121.98822,4.9,6400.06377826632
2025-04-11,60870007,36.98332,-121.98822,4.5,6397.150930340527
2025-04-12,60870007,36.98332,-121.98822,7.5,6394.238082414734
2025-04-13,60870007,36.98332,-121.98822,7.7,6391.3252344889415
2025-04-14,60870007,36.98332,-121.98822,5.3,6388.412386563148
2025-04-15,60870007,36.98332,-121.98822,4.0,6385.499538637356
2025-04-16,60870007,36.98332,-121.98822,6.1,6382.586690711562
2025-04-17,60870007,36.98332,-121.98822,2.9,6379.673842785769
2025-04-18,60870007,36.98332,-121.98822,4.1,6376.760994859977
2025-04-19,60870007,36.98332,-121.98822,6.7,6373.848146934183
2025-04-20,60870007,36.98332,-121.98822,4.7,6370.935299008391
2025-04-21,60870007,36.98332,-121.98822,5.4,6368.022451082597
2025-04-22,60870007,36.98332,-121.98822,6.1,6365.109603156805
2025-04-23,60870007,36.98332,-121.98822,7.9,6362.196755231012
2025-04-24,60870007,36.98332,-121.98822,3.0,6351.364526688105
2025-04-25,60870007,36.98332,-121.98822,2.4,6340.532298145199
